Drug,Brand name,Species,Use,Notes,Source URL
Adams Plus Flea & Tick Spot On For Dogs (5-14 lbs) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-5-14-lbs-with-reusable-applicator.html
Adams Plus Flea & Tick Spot On For Dogs (61-150 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-61-150-lbs-refill-pack.html
Adams Plus Flea & Tick Spot On For Dogs (61-150 lbs) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-61-150-lbs-with-reusable-applicator.html
Adams Plus Flea & Tick Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-spray.html
Adams Plus Pyrethrin Dip,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-pyrethrin-dip.html
Adams Plus Yard Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-yard-spray.html
Adams Yard & Garden Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-yard-garden-spray.html
Adapt-VM (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adapt-vm-can.html
Adaptil Calm Collar (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adaptil-calm-collar-can.html
Adaptil Calm Diffuser (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adaptil-calm-diffuser-can.html
Adaptil Collar,,"Dog, Cat","ADAPTIL ® Collar helps control or prevent stress in puppies and adult dogs, helping them to deal with challenging situations such as:",,https://www.drugs.com/vet/adaptil-collar.html
Adaptil Diffuser,,"Dog, Cat, Bird",ADAPTIL ® Diffuser contains D.A.P.® which offers a natural and convenient way to help manage stress-related behaviors in your dog during:,,https://www.drugs.com/vet/adaptil-diffuser.html
Adaptil Spray,,"Dog, Cat","ADAPTIL ® Spray contains D.A.P. ® which can help control or prevent stress in puppies and adult dogs, helping them to deal with challenging situations such as:",,https://www.drugs.com/vet/adaptil-spray.html
Adaptil Transport Spray (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adaptil-transport-spray-can.html
Adequan Canine,,"Dog, Cat, Horse, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","The following adverse events are based on voluntary, post-approval reporting. Not all adverse reactions are reported to FDA/CVM. It is not always possible to reliably estimate the adverse event frequency or establish a causal relationship to product exposure using these data. The signs reported are listed in decreasing order of reporting frequency.",https://www.drugs.com/vet/adequan-canine.html
Adequan Canine (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","* Very rare: less than 1 animal in 10,000 animals (reporting rate: < 1).",https://www.drugs.com/vet/adequan-canine-can.html
Adiva Hepatic Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Always work with your veterinarian for your animal’s optimal health and well-being.,https://www.drugs.com/vet/adiva-hepatic-dog.html
Adroitin-M Chewables,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Consult with your veterinarian before using this product in animals with clotting disorders, being treated with anticoagulant medications, diabetes, or any metabolic disorder causing hyperglycemia, history of urinary tract stones, known allergies to shellfish.",https://www.drugs.com/vet/adroitin-m-chewables.html
Adroitin-M Soft Chews,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Questions? 1-800-999-0297,https://www.drugs.com/vet/adroitin-m-soft-chews.html
Advanced Calm (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/advanced-calm-can.html
Advanced Conditioning Treatment,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advanced-conditioning-treatment.html
Advanced GI - Oral Paste (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/advanced-gi-oral-paste-can.html
Advanced GI - Powder (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/advanced-gi-powder-can.html
Advantage Carpet & Upholstery Spot Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-carpet-upholstery-spot-spray.html
Advantage Household Fogger,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-household-fogger.html
Advantage Household Spot & Crevice Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-household-spot-crevice-spray.html
Advantage II Extra Large Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/advantage-ii-extra-large-dog.html
Advantage II extra large dog (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-ii-extra-large-dog-can.html
Advantage II Large Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/advantage-ii-large-dog.html
Advantage II large dog (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-ii-large-dog-can.html
Advantage II Medium Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/advantage-ii-medium-dog.html
Advantage II medium dog (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-ii-medium-dog-can.html
Advantage II Small Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/advantage-ii-small-dog.html
Advantage II small dog (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-ii-small-dog-can.html
Advantage Multi (imidacloprid + moxidectin) Topical Solution for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Heartworm-Negative Dogs,https://www.drugs.com/vet/advantage-multi-imidacloprid-moxidectin-topical-solution-for-dogs.html
advantage multi 10 (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Use of the product may result in transient pruritus in dogs. Rarely, greasy fur, erythema and vomiting can occur. These signs disappear without further treatment. The product may, in rare cases, cause local hypersensitivity reactions. If the animal licks the application site after treatment, transient, self-limiting neurological signs such as ataxía, generalized tremors, ocular signs (dilated pupils, little pupillary reflex, nystagmus), abnormal respiration, salivation and vomiting may occur infrequently.",https://www.drugs.com/vet/advantage-multi-10-can.html
advantage multi 100 (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Use of the product may result in transient pruritus in dogs. Rarely, greasy fur, erythema and vomiting can occur. These signs disappear without further treatment. The product may, in rare cases, cause local hypersensitivity reactions. If the animal licks the application site after treatment, transient, self-limiting neurological signs such as ataxía, generalized tremors, ocular signs (dilated pupils, little pupillary reflex, nystagmus), abnormal respiration, salivation and vomiting may occur infrequently.",https://www.drugs.com/vet/advantage-multi-100-can.html
advantage multi 20 (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Use of the product may result in transient pruritus in dogs. Rarely, greasy fur, erythema and vomiting can occur. These signs disappear without further treatment. The product may, in rare cases, cause local hypersensitivity reactions. If the animal licks the application site after treatment, transient, self-limiting neurological signs such as ataxía, generalized tremors, ocular signs (dilated pupils, little pupillary reflex, nystagmus), abnormal respiration, salivation and vomiting may occur infrequently.",https://www.drugs.com/vet/advantage-multi-20-can.html
advantage multi 55 (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Use of the product may result in transient pruritus in dogs. Rarely, greasy fur, erythema and vomiting can occur. These signs disappear without further treatment. The product may, in rare cases, cause local hypersensitivity reactions. If the animal licks the application site after treatment, transient, self-limiting neurological signs such as ataxía, generalized tremors, ocular signs (dilated pupils, little pupillary reflex, nystagmus), abnormal respiration, salivation and vomiting may occur infrequently.",https://www.drugs.com/vet/advantage-multi-55-can.html
Advantage Treatment Shampoo for Dogs & Puppies,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-treatment-shampoo-for-dogs-puppies.html
Advantage Treatment Spray for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-treatment-spray-for-dogs.html
Advantage Yard & Premise Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-yard-premise-spray.html
advantus (imidacloprid) soft chew,,"Dog, Cat","used together with other products, including heartworm preventatives, corticosteroids, antibiotics, vaccines, deworming medications and shampoos. ● advantus does not protect against ticks or mosquitoe",Directions: You should weigh your dog before giving this medication to make sure you are using the right size for your dog. Do not give to puppies younger than 10 weeks of age or to dogs weighing less than 4 pounds. Do not give more than one tablet a day.,https://www.drugs.com/vet/advantus-imidacloprid-soft-chew.html
